id,misto,oblast,pop_2001,pop_2014,pop_2020
254,Богодухів,Харківська область,18 224,15 720,15 020
255,Бурштин,Івано-Франківська область,15 298,15 370,14 976
256,Тульчин,Вінницька область,16 136,15 845,14 871
257,Вільнянськ,Запорізька область,16 522,15 787,14 809
258,Миколаїв,Львівська область,14 801,14 934,14 787
259,Арциз,Одеська область,16 370,15 021,14 666
260,Вугледар,Донецька область,17 440,15 294,14 616
261,Миколаївка[33],Донецька область,16 620,15 559,14 564
262,Новогродівка,Донецька область,17 473,15 247,14 481
263,Гайворон,Кіровоградська область,16 126,15 087,14 344
264,Карлівка,Полтавська область,17 995,15 071,14 292
265,Оріхів,Запорізька область,17 955,15 161,14 278
266,Зміїв,Харківська область,17 063,15 160,14 254
267,Сторожинець,Чернівецька область,14 693,14 407,14 175
268,Радомишль,Житомирська область,15 326,14 930,14 109
269,Очаків,Миколаївська область,16 929,14 566,14 036
271,Ківерці,Волинська область,16 678,14 480,13 971
270,Гола Пристань,Херсонська область,16 028,14 785,13 971
272,Жовква,Львівська область,13 474,13 629,13 899
273,Збараж,Тернопільська область,13 228,14 054,13 587
274,Бунге[34],Донецька область,17 813,13 945,13 565
275,Кагарлик,Київська область,13 757,13 730,13 461
276,Апостолове,Дніпропетровська область,16 439,14 348,13 455
277,Жашків,Черкаська область,15 853,14 146,13 451
278,Городище,Черкаська область,15 645,14 249,13 433
279,Золоте,Луганська область,17 836,14 376,13 374
280,Теребовля,Тернопільська область,13 661,13 709,13 325
281,Носівка,Чернігівська область,15 966,14 007,13 310
282,Березне,Рівненська область,13 669,13 435,13 285
283,Гуляйполе,Запорізька область,17 077,14 180,13 262
284,Тальне,Черкаська область,16 388,14 160,13 156
285,Зеленодольськ,Дніпропетровська область,14 792,13 907,13 056
286,Василівка,Запорізька область,15 592,13 875,12 971
287,Яворів,Львівська область,13 510,13 009,12 946
288,Новгород-Сіверський,Чернігівська область,15 175,13 753,12 862
289,Тетіїв,Київська область,14 944,13 270,12 855
290,Хорол,Полтавська область,14 753,13 532,12 839
291,Часів Яр,Донецька область,16 612,13 817,12 756
292,Петрово-Красносілля[35],Луганська область,15 478,13 117,12 713
293,Рожище,Волинська область,13 636,13 306,12 710
294,Корюківка,Чернігівська область,14 318,13 114,12 539
295,Біляївка,Одеська область,14 294,11 993,12 526
296,Камінь-Каширський,Волинська область,10 818,12 190,12 477
297,Кам'янка-Дніпровська,Запорізька область,15 522,13 383,12 472
298,Баштанка,Миколаївська область,13 146,12 658,12 449
299,Снігурівка,Миколаївська область,15 447,12 992,12 432
300,Бучач,Тернопільська область,12 549,12 631,12 378
301,Гнівань,Вінницька область,12 832,12 577,12 330
303,Берислав,Херсонська область,15 455,13 044,12 250
302,Бершадь,Вінницька область,13 336,13 098,12 250
304,Узин,Київська область,13 217,12 150,11 998
305,Жданівка,Донецька область,13 688,12 301,11 959
306,Городня,Чернігівська область,14 043,12 431,11 852
307,Щастя,Луганська область,13 770,12 629,11 743
308,Нова Одеса,Миколаївська область,14 070,12 253,11 726
309,Немирів,Вінницька область,12 082,11 861,11 588
310,Приморськ,Запорізька область,12 973,12 194,11 497
311,Баранівка,Житомирська область,12 584,11 948,11 497
312,Боково-Хрустальне[36],Луганська область,14 773,11 731,11 478
313,Кальміуське[37],Донецька область,12 813,11 672,11 469
314,Світлодарськ,Донецька область,13 184,12 127,11 421
315,Миронівка,Київська область,13 368,11 851,11 395
316,Кам'янка,Черкаська область,15 109,12 427,11 328
317,Лохвиця,Полтавська область,12 389,11 801,11 271
318,Мена,Чернігівська область,12 940,12 181,11 243
319,Сіверськ,Донецька область,14 393,12 036,11 231
320,Іллінці,Вінницька область,11 186,11 360,11 219
321,Новоазовськ,Донецька область,12 702,11 740,11 147
322,Українськ,Донецька область,13 236,11 928,11 035
323,Новомиргород,Кіровоградська область,13 220,11 495,11 024
324,Соснівка,Львівська область,11 889,11 437,10 991
325,Татарбунари,Одеська область,10 797,10 974,10 945
326,Сновськ[38],Чернігівська область,12 315,11 455,10 928
327,Бобровиця,Чернігівська область,11 916,11 279,10 894
328,Ямпіль,Вінницька область,11 787,11 329,10 879
329,Соледар,Донецька область,13 151,11 560,10 867
330,Борщів,Тернопільська область,11 382,11 202,10 803
331,Гірник,Донецька область,14 207,11 510,10 725
332,Ічня,Чернігівська область,12 780,11 454,10 709
333,Гребінка,Полтавська область,11 662,10 938,10 683
334,Жидачів,Львівська область,11 798,11 149,10 672
335,Бобринець,Кіровоградська область,12 300,11 005,10 651
336,Кам'янка-Бузька,Львівська область,11 674,10 837,10 630
337,Новодністровськ,Чернівецька область,10 342,10 729,10 622
338,Моспине,Донецька область,11 736,10 745,10 518
339,Радивилів,Рівненська область,10 311,10 558,10 476
340,Любомль,Волинська область,10 395,10 274,10 425
341,Болехів,Івано-Франківська область,10 633,10 770,10 399
343,Таврійськ,Херсонська область,11 452,10 941,10 360
342,Олевськ[39],Житомирська область,10 896,10 222,10 305
344,Мала Виска,Кіровоградська область,13 132,11 014,10 260
345,Христинівка,Черкаська область,11 650,10 853,10 246
346,Щолкіне,АР Крим,11 699,11 169,10 182*
347,Верхівцеве,Дніпропетровська область,10 142,10 062,10 148
348,Теплодар,Одеська область,8 830,10 227,10 146
349,Родинське,Донецька область,11 996,10 641,10 066
350,Інкерман,м. Севастополь,10 628,12 028,10 056
351,Тараща,Київська область,13 452,11 275,10 017
352,Деражня,Хмельницька область,10 446,10 302,9 969
353,Снятин,Івано-Франківська область,10 479,10 102,9 905
354,Дубляни,Львівська область,8 469,10 132,9 811
355,Перещепине,Дніпропетровська область,10 041,10 138,9 805
356,Борзна,Чернігівська область,11 707,10 396,9 775
357,Радехів,Львівська область,9 230,9 612,9 750
358,Кобеляки,Полтавська область,12 076,10 041,9 718
359,Зимогір'я,Луганська область,11 295,9 881,9 617
360,Березівка,Одеська область,9 481,9 778,9 581
361,Погребище,Вінницька область,10 754,9 814,9 514
362,Старий Крим,АР Крим,10 101,9 478,9 471*
363,Гірське,Луганська область,11 473,10 041,9 436
364,Пустомити,Львівська область,9 798,9 211,9 422
365,Мостиська,Львівська область,9 150,9 258,9 396
366,Дубровиця,Рівненська область,9 644,9 459,9 394
367,Ірміно[40],Луганська область,13 053,9 886,9 389
368,Зіньків,Полтавська область,10 577,9 899,9 387
369,Мар'їнка,Донецька область,10 722,9 829,9 376
370,Іршава,Закарпатська область,9 515,9 220,9 259
371,Ходорів,Львівська область,10 565,9 813,9 255
372,Глобине,Полтавська область,12 902,9 921,9 235
373,Решетилівка[41],Полтавська область,9 457,9 412,9 199
374,Тисмениця,Івано-Франківська область,9 790,9 443,9 175
375,Хотин,Чернівецька область,11 216,9 591,9 132
376,Заліщики,Тернопільська область,10 125,9 379,9 089
377,Городенка,Івано-Франківська область,9 794,9 384,9 070
378,Горохів,Волинська область,9 015,9 172,9 053
379,Тячів,Закарпатська область,9 786,9 127,8 972
380,Помічна,Кіровоградська область,10 946,9 201,8 874
381,Чоп,Закарпатська область,8 919,9 018,8 819
382,Тлумач,Івано-Франківська область,8 831,8 885,8 805
383,Валки,Харківська область,10 381,9 355,8 783
384,Сокиряни,Чернівецька область,10 258,9 388,8 748
385,Буськ,Львівська область,8 673,8 484,8 667
386,Чигирин,Черкаська область,11 960,9 258,8 655
387,Рава-Руська,Львівська область,8 070,8 487,8 641
388,Кодима,Одеська область,9 634,8 860,8 639
389,Андрушівка,Житомирська область,9 890,8 951,8 517
390,Монастирище,Черкаська область,9 463,8 970,8 494
391,Косів,Івано-Франківська область,8 301,8 621,8 490
392,Буринь,Сумська область,11 678,9 031,8 476
393,Ланівці,Тернопільська область,8 680,8 746,8 401
394,Барвінкове,Харківська область,12 998,9 465,8 309
395,Липовець,Вінницька область,9 406,8 691,8 181
396,Алупка,АР Крим,9 018,8 528,8 075*
397,Семенівка,Чернігівська область,9 656,8 486,8 052
398,Білицьке,Донецька область,10 093,8 627,8 047
399,Яремче[42],Івано-Франківська область,7 850,8 201,8 044
400,Ананьїв,Одеська область,9 476,8 563,7 930
401,Заводське[43],Полтавська область,9 024,8 560,7 929
402,Вилкове,Одеська область,9 260,8 422,7 909
403,Заставна,Чернівецька область,8 866,7 985,7 860
404,Почаїв,Тернопільська область,8 240,7 834,7 737
405,Рогатин,Івано-Франківська область,8 607,8 000,7 716
406,Новоселиця,Чернівецька область,8 400,7 714,7 566
407,Південне,Харківська область,8 516,7 856,7 461
408,Вуглегірськ,Донецька область,10 309,7 671,7 338
409,Ржищів,Київська область,8 447,7 545,7 323
410,Кипуче[13],Луганська область,9 097,7 465,7 235
411,Зоринськ,Луганська область,8 838,7 291,7 150
412,Шаргород,Вінницька область,7 161,6 981,7 035
413,Середина-Буда,Сумська область,7 511,7 169,7 022
414,Турка,Львівська область,7 681,7 207,7 018
415,Корець,Рівненська область,8 649,7 304,6 984
416,Новодружеськ,Луганська область,9 025,7 660,6 926
417,Ворожба,Сумська область,8 384,7 363,6 910
418,Привілля,Луганська область,9 004,7 643,6 826
419,Хоростків,Тернопільська область,7 306,7 034,6 738
420,Зборів,Тернопільська область,7 436,6 816,6 669
421,Перечин[44],Закарпатська область,7 083,6 720,6 644
422,Копичинці,Тернопільська область,7 036,6 869,6 627
423,Перемишляни,Львівська область,7 565,6 885,6 606
424,Старий Самбір,Львівська область,5 706,6 596,6 531
425,Судова Вишня,Львівська область,6 668,6 504,6 509
426,Олександрівськ,Луганська область,7 045,6 596,6 444
427,Молочанськ,Запорізька область,7 964,6 891,6 327
428,Великі Мости,Львівська область,5 925,6 132,6 256
429,Галич,Івано-Франківська область,6 495,6 264,6 193
430,Кіцмань,Чернівецька область,7 608,6 603,6 179
431,Сколе,Львівська область,6 742,6 324,6 146
432,Благовіщенське[45],Кіровоградська область,7 526,6 092,6 002
433,Моршин,Львівська область,6 482,6 013,5 754
434,Остер,Чернігівська область,7 194,6 295,5 727
435,Монастириська,Тернопільська область,6 344,6 065,5 551
436,Чуднів[46],Житомирська область,6 558,5 814,5 494
437,Шумськ,Тернопільська область,5 161,5 460,5 417
438,Вашківці,Чернівецька область,5 987,5 405,5 353
439,Рудки,Львівська область,4 942,5 447,5 322
440,Залізне[47],Донецька область,6 725,5 567,5 105
441,Дружба,Сумська область,5 726,4 997,4 654
442,Міусинськ,Луганська область,6 029,4 732,4 613
443,Святогірськ[48],Донецька область,5 136,4 630,4 369
444,Новий Калинів[49],Львівська область,3 582,4 123,4 233
445,Добромиль,Львівська область,4 976,4 406,4 222
446,Хирів,Львівська область,4 590,4 056,4 184
447,Алмазна,Луганська область,5 061,4 299,4 177
448,Вижниця,Чернівецька область,5 021,4 157,3 917
449,Бібрка,Львівська область,3 980,3 816,3 849
450,Скалат,Тернопільська область,4 036,4 020,3 833
451,Комарно,Львівська область,3 994,3 841,3 727
452,Глиняни,Львівська область,3 378,3 165,3 050
453,Підгайці,Тернопільська область,3 280,2 830,2 654
454,Батурин[50],Чернігівська область,3 078,2 652,2 492
455,Белз,Львівська область,2 478,2 352,2 257
456,Герца,Чернівецька область,2 068,2 113,2 102
457,Устилуг,Волинська область,2 283,2 218,2 096
458,Берестечко,Волинська область,1 904,1 757,1 694
459,Угнів,Львівська область,1 021,1 002,972
460,Чорнобиль,Київська область,0,0,0
461,Прип'ять,Київська область,0,0,0
