event_n,signal_on,signal_off
378,2022-08-21T05:48:00Z,2022-08-21T06:03:00Z
377,2022-08-21T03:09:00Z,2022-08-21T03:58:00Z
376,2022-08-20T14:16:00Z,2022-08-20T15:03:00Z
375,2022-08-20T11:05:00Z,2022-08-20T12:13:00Z
374,2022-08-20T09:48:00Z,2022-08-20T10:04:00Z
373,2022-08-20T01:49:00Z,2022-08-20T02:19:00Z
372,2022-08-18T00:21:00Z,2022-08-18T23:33:00Z
371,2022-08-17T02:30:00Z,2022-08-17T03:29:00Z
370,2022-08-16T14:05:00Z,2022-08-16T14:35:00Z
369,2022-08-15T23:08:00Z,2022-08-16T00:29:00Z
368,2022-08-14T08:20:00Z,2022-08-14T08:36:00Z
367,2022-08-13T08:05:00Z,2022-08-13T08:21:00Z
366,2022-08-13T01:57:00Z,2022-08-13T02:23:00Z
365,2022-08-12T04:28:00Z,2022-08-12T04:49:00Z
364,2022-08-11T21:09:00Z,2022-08-11T21:47:00Z
363,2022-08-11T19:16:00Z,2022-08-11T19:38:00Z
362,2022-08-11T13:11:00Z,2022-08-11T14:12:00Z
361,2022-08-10T16:43:00Z,2022-08-10T17:42:00Z
360,2022-08-10T15:03:00Z,2022-08-10T15:54:00Z
359,2022-08-09T09:48:00Z,2022-08-09T10:11:00Z
358,2022-08-08T18:30:00Z,2022-08-08T19:14:00Z
357,2022-08-08T12:41:00Z,2022-08-08T13:34:00Z
356,2022-08-08T10:13:00Z,2022-08-08T10:48:00Z
355,2022-08-08T08:06:00Z,2022-08-08T08:33:00Z
354,2022-08-08T03:03:00Z,2022-08-08T03:27:00Z
353,2022-08-07T19:45:00Z,2022-08-07T22:40:00Z
352,2022-08-05T01:50:00Z,2022-08-05T02:09:00Z
351,2022-08-02T16:52:00Z,2022-08-02T18:21:00Z
350,2022-07-31T21:54:00Z,2022-07-31T23:07:00Z
349,2022-07-30T09:24:00Z,2022-07-30T09:49:00Z
348,2022-07-29T09:31:00Z,2022-07-29T10:44:00Z
347,2022-07-29T02:15:00Z,2022-07-29T02:53:00Z
346,2022-07-28T12:24:00Z,2022-07-28T12:56:00Z
345,2022-07-28T05:38:00Z,2022-07-28T06:05:00Z
344,2022-07-28T03:53:00Z,2022-07-28T05:21:00Z
343,2022-07-27T09:42:00Z,2022-07-27T10:43:00Z
342,2022-07-26T23:01:00Z,2022-07-27T00:46:00Z
341,2022-07-26T05:33:00Z,2022-07-26T05:47:00Z
340,2022-07-26T04:47:00Z,2022-07-26T05:11:00Z
339,2022-07-25T22:04:00Z,2022-07-25T23:19:00Z
338,2022-07-24T10:54:00Z,2022-07-24T11:49:00Z
337,2022-07-24T08:12:00Z,2022-07-24T09:30:00Z
336,2022-07-23T04:46:00Z,2022-07-23T06:00:00Z
335,2022-07-18T17:33:00Z,2022-07-18T18:07:00Z
334,2022-07-16T16:24:00Z,2022-07-16T17:49:00Z
333,2022-07-16T04:04:00Z,2022-07-16T05:33:00Z
332,2022-07-15T20:01:00Z,2022-07-15T21:49:00Z
331,2022-07-15T18:28:00Z,2022-07-15T18:32:00Z
330,2022-07-14T22:52:00Z,2022-07-14T23:27:00Z
329,2022-07-14T15:08:00Z,2022-07-14T15:26:00Z
328,2022-07-14T10:13:00Z,2022-07-14T12:19:00Z
327,2022-07-13T14:18:00Z,2022-07-13T15:20:00Z
326,2022-07-12T04:28:00Z,2022-07-12T05:48:00Z
325,2022-07-07T03:08:00Z,2022-07-07T04:02:00Z
324,2022-07-06T02:45:00Z,2022-07-06T03:47:00Z
323,2022-07-05T19:19:00Z,2022-07-05T20:20:00Z
322,2022-07-05T02:53:00Z,2022-07-05T04:43:00Z
321,2022-07-03T21:05:00Z,2022-07-03T21:54:00Z
320,2022-07-01T00:32:00Z,2022-07-01T01:04:00Z
319,2022-06-28T21:17:00Z,2022-06-28T21:33:00Z
318,2022-06-28T16:45:00Z,2022-06-28T17:34:00Z
317,2022-06-27T15:39:00Z,2022-06-27T16:03:00Z
316,2022-06-27T11:36:00Z,2022-06-27T12:02:00Z
315,2022-06-27T00:43:00Z,2022-06-27T01:37:00Z
314,2022-06-26T18:43:00Z,2022-06-26T19:08:00Z
313,2022-06-26T10:44:00Z,2022-06-26T13:06:00Z
312,2022-06-26T05:48:00Z,2022-06-26T07:21:00Z
